City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Marsh Harbour,BS,79.83,clear sky,26.5412,-77.0636,Abaco Beach Resort
2,Namatanai,PG,80.28,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
5,Kavieng,PG,83.25,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
9,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
13,Rikitea,PF,76.48,light rain,-23.1203,-134.9692,People ThankYou
14,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
18,Puerto Ayora,EC,78.76,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
21,Sakakah,SA,78.37,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
26,Saint George,US,77.79,few clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
30,Lorengau,PG,83.23,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
36,Faanui,PF,80.65,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
46,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
57,Tautira,PF,80.35,light rain,-17.7333,-149.15,Pension Oaoa
64,Santa Rosa,PH,85.1,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
69,Harper,LR,77.27,heavy intensity rain,4.375,-7.7169,Screensaver
74,Buala,SB,79.97,light rain,-8.145,159.5921,Maringe Lagoon Lodge
76,Hithadhoo,MV,84.72,light rain,-0.6,73.0833,Scoop Guest House
77,Praya,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
83,Puerto Carreno,CO,84.18,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
84,Barcelos,PT,84.92,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
86,Key West,US,84.0,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
92,Avarua,CK,80.78,overcast clouds,-21.2078,-159.775,Paradise Inn
95,Maracacume,BR,79.39,overcast clouds,-2.0428,-45.9592,Hotel Ramos
96,Sibolga,ID,77.41,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
98,Vung Tau,VN,83.19,overcast clouds,10.346,107.0843,Seaside Resort
99,Lagunas,PE,83.23,few clouds,-5.2269,-75.6753,Hospedaje Eco
100,Atuona,PF,78.91,scattered clouds,-9.8,-139.0333,Villa Enata
101,Cuauhtemoc,MX,77.47,clear sky,28.4167,-106.8667,Motel Tarahumara Inn
118,Matara,LK,82.09,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
119,Alegria,PH,77.38,overcast clouds,9.4669,125.5772,Eezy't
120,Tura,IN,75.97,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
125,Palu,ID,77.59,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
126,Iquitos,PE,78.71,overcast clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
127,Road Town,VG,84.24,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
134,Tarakan,ID,81.9,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
135,Sambava,MG,77.05,light rain,-14.2667,50.1667,Melrose
138,Hilo,US,79.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
140,Auki,SB,78.24,broken clouds,-8.7676,160.7034,Auki Motel
144,Jalu,LY,83.48,clear sky,29.0331,21.5482,صاحبة الفخامة
145,Quemado De Guines,CU,90.0,clear sky,22.7853,-80.2536,Hotel Yara
149,Maragogi,BR,81.23,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
150,Komsomolskiy,UZ,80.71,clear sky,40.4272,71.7189,Ikathouse
151,Bengkulu,ID,78.08,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
157,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
161,Kieta,PG,78.64,light rain,-6.2167,155.6333,Uruna Bay Retreat
164,Acapulco,MX,85.68,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
169,Kirakira,SB,79.77,overcast clouds,-10.4544,161.9205,SanBiz Lodge
173,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
177,Twentynine Palms,US,76.86,scattered clouds,34.1356,-116.0542,"Holiday Inn Express & Suites Twentynine Palms- Joshua Tree, an IHG Hotel"
179,Brandon,US,89.2,clear sky,27.9378,-82.2859,Embassy Suites by Hilton Tampa Brandon
180,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
190,Sur,OM,89.04,clear sky,22.5667,59.5289,Sur Plaza Hotel
202,Butaritari,KI,81.27,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
204,Elk City,US,81.28,clear sky,35.412,-99.4043,Hampton Inn & Suites Elk City
207,San Javier,ES,79.39,clear sky,37.8063,-0.8374,Hotel Mar Menor
209,Thongwa,MM,82.56,overcast clouds,16.7619,96.5278,Mhaw Wun Marlar Park
211,Riyadh,SA,86.99,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
216,Ugoofaaru,MV,84.6,overcast clouds,5.6667,73.0,Ungoofaaru Inn
222,Miandrivazo,MG,76.91,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
224,Cordoba,AR,76.75,broken clouds,-31.4135,-64.1811,Hotel Sussex
230,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
232,Mazamari,PE,82.35,broken clouds,-11.3258,-74.5308,Hospedaje Ratto
233,Touros,BR,83.59,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
234,Mae Chan,TH,75.78,overcast clouds,20.1467,99.8526,Kiang Dao Resort
236,Buraydah,SA,84.02,few clouds,26.326,43.975,Mövenpick Qassim
241,Kahului,US,75.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
242,Meadow Lake,US,78.96,few clouds,34.8014,-106.5436,TumbleWeed RV Park
244,Majene,ID,79.14,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
245,Kichha,IN,86.49,clear sky,28.9167,79.5,National Constructions
249,Iaciara,BR,88.97,scattered clouds,-14.0958,-46.6317,Hotel Matinha
252,Cockburn Town,TC,79.54,clear sky,21.4612,-71.1419,Osprey Beach Hotel
254,Galesong,ID,78.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
