City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,-42.7826,147.0587,58.71,52,57,2.86,broken clouds
1,Straumen,63.8709,11.2999,37.4,68,90,10.74,overcast clouds
2,Frontignan,43.4485,3.754,62.55,62,7,3.29,clear sky
3,Kapaa,22.0752,-159.319,78.78,82,20,14.97,few clouds
4,Chicama,-7.8447,-79.1469,61.34,84,17,4.83,few clouds
5,Moree,-29.4667,149.85,68.02,22,0,12.66,clear sky
6,New Norfolk,-42.7826,147.0587,57.65,53,31,2.86,scattered clouds
7,Straumen,63.8709,11.2999,37.4,69,94,11.95,overcast clouds
8,Frontignan,43.4485,3.754,63.05,59,92,1.83,overcast clouds
9,Kapaa,22.0752,-159.319,78.78,82,20,14.97,few clouds
10,Chicama,-7.8447,-79.1469,61.34,84,79,6.08,broken clouds
11,Moree,-29.4667,149.85,68.02,22,0,12.66,clear sky
12,Ravenna,44.4167,11.9833,61.18,88,94,7.31,overcast clouds
13,Hobart,-42.8794,147.3294,58.01,59,20,9.22,few clouds
14,Mataura,-46.1927,168.8643,56.48,99,100,3.02,overcast clouds
15,Panama City,8.9936,-79.5197,78.75,88,100,3.44,overcast clouds
16,Hirara,24.8,125.2833,80.87,83,75,10.36,broken clouds
17,Georgetown,5.4112,100.3354,91.35,62,40,10.36,scattered clouds
18,Busselton,-33.65,115.3333,69.66,63,86,10.16,overcast clouds
19,Mahebourg,-20.4081,57.7,82.26,69,40,11.5,scattered clouds
20,Simpang,-1.2667,104.0833,82.11,78,100,0.83,light rain
21,Vaini,-21.2,-175.2,73.56,88,40,5.75,scattered clouds
22,Zlitan,32.4674,14.5687,67.93,55,0,9.19,clear sky
23,Hasaki,35.7333,140.8333,66.6,53,100,15.05,overcast clouds
24,Yellowknife,62.456,-114.3525,32.52,93,100,21.85,overcast clouds
25,Lorengau,-2.0226,147.2712,84.02,75,97,15.75,overcast clouds
26,Tuktoyaktuk,69.4541,-133.0374,30.94,93,100,10.45,overcast clouds
27,Lompoc,34.6391,-120.4579,51.69,76,0,28.99,clear sky
28,Rikitea,-23.1203,-134.9692,77.29,81,9,19.26,clear sky
29,Hilo,19.7297,-155.09,75.27,89,100,10.36,moderate rain
30,Shingu,33.7333,135.9833,71.01,63,14,6.04,few clouds
31,Torbay,47.6666,-52.7314,33.28,87,0,6.91,clear sky
32,Punta Arenas,-53.15,-70.9167,44.71,76,75,18.41,broken clouds
33,Havre-Saint-Pierre,50.2334,-63.5986,33.8,80,0,5.75,clear sky
34,Ponta Do Sol,32.6667,-17.1,63.72,63,85,6.78,overcast clouds
35,Ust-Shonosha,61.1531,41.343,53.19,77,99,12.91,overcast clouds
36,Dikson,73.5069,80.5464,18,90,67,18.9,broken clouds
37,Siguiri,11.6667,-9.5,80.71,65,43,4.27,scattered clouds
38,Gizo,-8.103,156.8419,84.25,73,57,5.19,broken clouds
39,Ust-Tsilma,65.441,52.1498,52.86,83,73,11.36,broken clouds
40,Bambous Virieux,-20.3428,57.7575,82.22,69,40,11.5,scattered clouds
41,Cayenne,4.9333,-52.3333,81.09,1,40,5.99,scattered clouds
42,Bokaa,-24.45,26.0167,57.69,72,0,8.05,clear sky
43,Avarua,-21.2078,-159.775,80.65,89,75,2.3,broken clouds
44,Liaozhong,41.5061,122.7242,67.37,16,95,4.47,overcast clouds
45,Puerto Ayora,-0.7393,-90.3518,71.17,93,7,8.43,clear sky
46,Bredasdorp,-34.5322,20.0403,56.97,82,77,4.16,broken clouds
47,Severo-Kurilsk,50.6789,156.125,43.97,80,100,15.35,overcast clouds
48,Cape Town,-33.9258,18.4232,58.91,82,0,11.5,clear sky
49,Arraial Do Cabo,-22.9661,-42.0278,71.11,80,48,7.58,scattered clouds
50,Klaksvik,62.2266,-6.589,45.52,87,100,21.36,light rain
51,Rawson,-43.3002,-65.1023,66.85,50,57,16.64,broken clouds
52,Walvis Bay,-22.9575,14.5053,52.09,87,0,6.91,clear sky
53,Araguacu,-12.9306,-49.8264,72.03,84,6,3.83,clear sky
54,Bethel,41.3712,-73.414,47.01,60,100,7,light rain
55,Thompson,55.7435,-97.8558,57.36,58,75,5.75,broken clouds
56,Castro,-24.7911,-50.0119,47.66,95,100,6.24,overcast clouds
57,Qaanaaq,77.484,-69.3632,17.64,76,100,5.84,overcast clouds
58,Port Alfred,-33.5906,26.891,59.18,85,98,5.01,overcast clouds
59,Flinders,-34.5833,150.8552,68.18,51,15,4,few clouds
60,Butaritari,3.0707,172.7902,82.27,77,70,15.52,broken clouds
61,Sarangani,5.4033,125.4636,83.39,80,100,20.36,overcast clouds
62,Mount Gambier,-37.8333,140.7667,58.91,72,75,6.91,broken clouds
63,Inirida,3.8653,-67.9239,71.29,99,70,2.77,broken clouds
64,Sitka,57.0531,-135.33,46.29,66,20,9.22,few clouds
65,Makakilo City,21.3469,-158.0858,73.72,69,20,16.11,few clouds
66,Port Elizabeth,-33.918,25.5701,60.31,79,40,8.05,scattered clouds
67,Ushuaia,-54.8,-68.3,46.06,57,20,11.5,few clouds
68,Longyearbyen,78.2186,15.6401,17.44,62,40,16.11,scattered clouds
69,Hofn,64.2539,-15.2082,44.31,89,100,7.05,overcast clouds
70,Ribeira Grande,38.5167,-28.7,55.8,82,0,8.05,clear sky
71,Rio Grande,-32.035,-52.0986,59.05,86,0,6.62,clear sky
72,Yanam,16.7333,82.2167,98.62,37,48,8.05,scattered clouds
73,Margate,51.3813,1.3862,51.69,81,2,5.99,clear sky
74,Zaysan,47.4667,84.8667,56.23,41,98,9.6,overcast clouds
75,Tiksi,71.6872,128.8694,20.8,74,52,3.42,broken clouds
76,Zhuhai,22.2769,113.5678,82.18,69,40,11.5,scattered clouds
77,Albany,42.6001,-73.9662,43.79,61,100,2.89,overcast clouds
78,East London,-33.0153,27.9116,61.74,72,40,12.66,scattered clouds
79,Mapiripan,2.8892,-72.1256,71.02,98,100,2.62,overcast clouds
80,Cockburn Town,21.4612,-71.1419,79.07,79,0,9.24,clear sky
81,Aksarka,66.5606,67.7975,34.32,100,100,12.86,overcast clouds
82,Kattivakkam,13.2167,80.3167,98.69,78,100,10.16,light rain
83,Mingyue,43.1069,128.9217,65.55,16,38,14.12,scattered clouds
84,Jamestown,42.097,-79.2353,40.01,75,0,1.01,clear sky
85,Norman Wells,65.282,-126.8329,39.24,56,75,6.91,broken clouds
86,Atuona,-9.8,-139.0333,77.83,80,17,15.08,light rain
87,Dalvik,65.9702,-18.5286,39.13,78,99,5.3,overcast clouds
88,Merritt Island,28.5392,-80.672,73.98,81,0,12.66,clear sky
89,Cidreira,-30.1811,-50.2056,61.97,81,0,11.07,clear sky
90,Chokurdakh,70.6333,147.9167,15.82,92,17,4.9,few clouds
91,Malinovskiy,61.1953,62.8397,63.18,35,73,10.94,broken clouds
92,Carnarvon,-24.8667,113.6333,80.67,54,34,10.36,scattered clouds
93,Greytown,-29.0642,30.5928,55.9,94,96,3.67,light rain
94,Nanortalik,60.1432,-45.2371,37.45,79,100,4.18,overcast clouds
95,Yala,6.3333,101.25,88.41,72,100,1.16,overcast clouds
96,Victoria,22.2855,114.1577,84.18,62,67,13,light rain
97,Honningsvag,70.9821,25.9704,33.55,60,75,12.66,broken clouds
98,Bluff,-46.6,168.3333,56.8,89,100,3.24,overcast clouds
99,Kodiak,57.79,-152.4072,47.71,57,0,4.61,clear sky
100,Khatanga,71.9667,102.5,20.35,82,59,13.15,broken clouds
101,Iqaluit,63.7506,-68.5145,20.93,73,20,4.61,few clouds
102,Port Lincoln,-34.7333,135.8667,59.86,72,100,9.22,overcast clouds
103,Pevek,69.7008,170.3133,28.67,88,100,6.26,overcast clouds
104,Esperance,-33.8667,121.9,78.64,38,100,5.1,overcast clouds
105,Hami,42.8,93.45,82.56,19,100,9.35,overcast clouds
106,Mandera,3.9366,41.867,87.93,46,40,14.09,scattered clouds
107,Suyo,16.9762,120.5254,92.01,54,16,6.62,few clouds
108,Hermanus,-34.4187,19.2345,53.8,79,100,6.73,overcast clouds
109,Mahibadhoo,3.7833,72.9667,84.22,77,100,16.69,overcast clouds
110,Amsterdam,52.374,4.8897,52.86,77,20,8.05,few clouds
111,Gobabis,-22.45,18.9667,53.06,52,0,9.62,clear sky
112,Tautira,-17.7333,-149.15,80.94,75,14,1.7,few clouds
113,Calamar,10.2511,-74.9146,77.04,89,100,0.87,overcast clouds
114,Houma,29.5958,-90.7195,75,94,40,0,mist
115,Ostrovnoy,68.0531,39.5131,34.68,75,78,18.84,broken clouds
116,Mareeba,-17,145.4333,73.44,93,94,4.81,light rain
117,Airai,-8.9266,125.4092,68,74,74,4.76,broken clouds
118,Raga,8.4596,25.678,85.15,52,99,4.43,overcast clouds
119,Russell,32.3502,-85.1999,60.4,88,0,0,clear sky
120,Adrar,20.5022,-10.0711,81.93,15,6,8.48,clear sky
121,Tacoronte,28.4769,-16.4102,61.12,65,0,3.44,clear sky
122,Petropavlovsk-Kamchatskiy,53.0452,158.6483,57.79,58,0,11.18,clear sky
123,Upernavik,72.7868,-56.1549,3.36,77,19,5.97,few clouds
124,Katsuura,35.1333,140.3,57.36,75,100,13.65,overcast clouds
125,Muzhi,65.3667,64.6667,41.07,99,97,9.1,overcast clouds
126,Santa Lucia,27.9117,-15.5407,58.32,83,20,18.41,few clouds
127,Lebu,-37.6167,-73.65,52.95,94,8,3.06,clear sky
128,Port Hedland,-20.3167,118.5667,86.05,39,10,18.41,clear sky
129,Tasiilaq,65.6145,-37.6368,30.36,68,100,5.86,overcast clouds
130,Otane,-39.8833,176.6333,58.01,87,52,1.99,broken clouds
131,Barrow,71.2906,-156.7887,23.02,93,100,4.61,mist
132,Yatou,37.15,122.3833,50.49,77,100,15.37,overcast clouds
133,Narsaq,60.9167,-46.05,50.22,64,100,6.69,overcast clouds
134,Carutapera,-1.195,-46.02,75.47,93,97,1.95,light rain
135,Jiayuguan,39.8167,98.3,74.44,15,2,12.33,clear sky
