City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Qaanaaq,GL,2022-05-07 18:08:51,77.484,-69.3632,19.58,73,99,1.83
1,Bluff,NZ,2022-05-07 18:08:51,-46.6,168.3333,57.79,81,89,7.18
2,Cape Town,ZA,2022-05-07 18:08:48,-33.9258,18.4232,59.27,73,0,10.0
3,Maniitsoq,GL,2022-05-07 18:08:52,65.4167,-52.9,32.59,72,22,10.54
4,Vestmannaeyjar,IS,2022-05-07 18:08:52,63.4427,-20.2734,45.21,78,90,22.08
5,Victoria,HK,2022-05-07 18:07:09,22.2855,114.1577,77.38,78,99,5.01
6,Provideniya,RU,2022-05-07 18:08:53,64.3833,-173.3,31.12,92,100,7.2
7,Albany,US,2022-05-07 18:08:53,42.6001,-73.9662,58.59,36,100,1.99
8,Rikitea,PF,2022-05-07 18:08:54,-23.1203,-134.9692,77.47,83,67,11.03
9,Takoradi,GH,2022-05-07 18:08:54,4.8845,-1.7554,81.75,78,99,6.53
10,Flinders,AU,2022-05-07 18:08:54,-34.5833,150.8552,56.17,59,0,8.99
11,San Cristobal,VE,2022-05-07 18:04:22,7.7669,-72.225,78.98,77,96,5.79
12,Portland,US,2022-05-07 18:07:42,45.5234,-122.6762,51.96,82,100,9.22
13,Rio Gallegos,AR,2022-05-07 18:08:55,-51.6226,-69.2181,59.05,33,0,33.38
14,Kamaishi,JP,2022-05-07 18:08:56,39.2667,141.8833,52.43,83,100,8.61
15,Oktyabrskiy,RU,2022-05-07 18:05:39,54.4815,53.471,46.85,58,44,2.3
16,Mataura,NZ,2022-05-07 18:08:56,-46.1927,168.8643,57.47,98,93,2.98
17,Isangel,VU,2022-05-07 18:08:56,-19.55,169.2667,75.25,69,21,15.73
18,Punta Arenas,CL,2022-05-07 18:07:29,-53.15,-70.9167,51.91,66,40,28.77
19,Alofi,NU,2022-05-07 18:08:57,-19.0595,-169.9187,80.1,76,47,8.23
20,Cabo San Lucas,MX,2022-05-07 18:08:57,22.8909,-109.9124,90.7,37,0,5.75
21,Mahebourg,MU,2022-05-07 18:08:58,-20.4081,57.7,78.26,88,40,9.22
22,Nikolskoye,RU,2022-05-07 18:08:58,59.7035,30.7861,53.49,82,30,4.36
23,Tirumullaivasal,IN,2022-05-07 18:08:59,11.2333,79.8333,84.9,78,77,8.86
24,Hobart,AU,2022-05-07 18:06:29,-42.8794,147.3294,53.46,73,40,11.5
25,Barrow,US,2022-05-07 18:08:12,71.2906,-156.7887,21.22,93,100,13.8
26,Monrovia,LR,2022-05-07 18:06:30,6.3005,-10.7969,81.36,83,26,9.26
27,Atuona,PF,2022-05-07 18:08:59,-9.8,-139.0333,78.66,72,46,16.96
28,Busselton,AU,2022-05-07 18:04:08,-33.65,115.3333,58.3,70,61,1.79
